"filename", "language", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\Alex\Desktop\pelets\src\App.css", "CSS", 23, 0, 0, 1, 5, 29
"c:\Users\Alex\Desktop\pelets\src\App.js", "JavaScript", 0, 51, 0, 0, 12, 63
"c:\Users\Alex\Desktop\pelets\src\App.test.js", "JavaScript", 0, 7, 0, 0, 2, 9
"c:\Users\Alex\Desktop\pelets\src\firebase-config.js", "JavaScript", 0, 12, 0, 0, 6, 18
"c:\Users\Alex\Desktop\pelets\src\index.css", "CSS", 15, 0, 0, 0, 3, 18
"c:\Users\Alex\Desktop\pelets\src\index.js", "JavaScript", 0, 10, 0, 5, 3, 18
"c:\Users\Alex\Desktop\pelets\src\logo.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\Alex\Desktop\pelets\src\pages\auth\CanNavigate.js", "JavaScript", 0, 11, 0, 0, 4, 15
"c:\Users\Alex\Desktop\pelets\src\pages\auth\Login.js", "JavaScript", 0, 147, 0, 10, 50, 207
"c:\Users\Alex\Desktop\pelets\src\pages\auth\ProfilePage.css", "CSS", 110, 0, 0, 0, 22, 132
"c:\Users\Alex\Desktop\pelets\src\pages\auth\ProfilePage.js", "JavaScript", 0, 220, 0, 1, 72, 293
"c:\Users\Alex\Desktop\pelets\src\pages\auth\Register.css", "CSS", 17, 0, 0, 0, 1, 18
"c:\Users\Alex\Desktop\pelets\src\pages\auth\Register.js", "JavaScript", 0, 126, 0, 1, 43, 170
"c:\Users\Alex\Desktop\pelets\src\pages\auth\auth-context.js", "JavaScript", 0, 21, 0, 0, 6, 27
"c:\Users\Alex\Desktop\pelets\src\pages\auth\loginCss.css", "CSS", 130, 0, 0, 0, 19, 149
"c:\Users\Alex\Desktop\pelets\src\pages\cartPage\CartPage.js", "JavaScript", 0, 12, 0, 0, 3, 15
"c:\Users\Alex\Desktop\pelets\src\pages\cartPage\ShoppingCart.css", "CSS", 11, 0, 0, 0, 3, 14
"c:\Users\Alex\Desktop\pelets\src\pages\cartPage\ShoppingCart.js", "JavaScript", 0, 39, 0, 1, 11, 51
"c:\Users\Alex\Desktop\pelets\src\pages\cartPage\ShoppingCartPage.css", "CSS", 423, 0, 0, 2, 88, 513
"c:\Users\Alex\Desktop\pelets\src\pages\cartPage\ShoppingCartPage.js", "JavaScript", 0, 192, 0, 4, 37, 233
"c:\Users\Alex\Desktop\pelets\src\pages\contactPage\ContactForm.css", "CSS", 74, 0, 0, 0, 12, 86
"c:\Users\Alex\Desktop\pelets\src\pages\contactPage\ContactForm.js", "JavaScript", 0, 67, 0, 0, 16, 83
"c:\Users\Alex\Desktop\pelets\src\pages\contactPage\ContactPage.js", "JavaScript", 0, 12, 0, 0, 3, 15
"c:\Users\Alex\Desktop\pelets\src\pages\homePage\CreateProduct.css", "CSS", 35, 0, 0, 0, 5, 40
"c:\Users\Alex\Desktop\pelets\src\pages\homePage\CreateProduct.js", "JavaScript", 0, 116, 0, 0, 31, 147
"c:\Users\Alex\Desktop\pelets\src\pages\homePage\CssHeader.css", "CSS", 223, 0, 0, 4, 40, 267
"c:\Users\Alex\Desktop\pelets\src\pages\homePage\Header.js", "JavaScript", 0, 59, 0, 1, 16, 76
"c:\Users\Alex\Desktop\pelets\src\pages\homePage\Homepage.js", "JavaScript", 0, 21, 0, 0, 3, 24
"c:\Users\Alex\Desktop\pelets\src\pages\homePage\Image.css", "CSS", 131, 0, 0, 0, 23, 154
"c:\Users\Alex\Desktop\pelets\src\pages\homePage\Image.js", "JavaScript", 0, 19, 0, 0, 4, 23
"c:\Users\Alex\Desktop\pelets\src\pages\homePage\ImageCards.css", "CSS", 58, 0, 0, 0, 9, 67
"c:\Users\Alex\Desktop\pelets\src\pages\homePage\ImageCards.js", "JavaScript", 0, 33, 0, 0, 5, 38
"c:\Users\Alex\Desktop\pelets\src\pages\homePage\PreFooter.css", "CSS", 51, 0, 0, 0, 9, 60
"c:\Users\Alex\Desktop\pelets\src\pages\homePage\PreFooter.js", "JavaScript", 0, 30, 0, 0, 8, 38
"c:\Users\Alex\Desktop\pelets\src\pages\homePage\ProductCardComponent.css", "CSS", 93, 0, 0, 12, 15, 120
"c:\Users\Alex\Desktop\pelets\src\pages\homePage\ProductCardComponent.js", "JavaScript", 0, 203, 0, 27, 67, 297
"c:\Users\Alex\Desktop\pelets\src\pages\homePage\ProductCardComponentModal.css", "CSS", 110, 0, 0, 0, 21, 131
"c:\Users\Alex\Desktop\pelets\src\pages\homePage\ProductListComponent.js", "JavaScript", 0, 38, 0, 18, 12, 68
"c:\Users\Alex\Desktop\pelets\src\pages\productPage\ProductPage.js", "JavaScript", 0, 12, 0, 0, 3, 15
"c:\Users\Alex\Desktop\pelets\src\pages\productPage\SingleProductPage.css", "CSS", 24, 0, 0, 0, 5, 29
"c:\Users\Alex\Desktop\pelets\src\pages\productPage\SingleProductPage.js", "JavaScript", 0, 40, 0, 0, 12, 52
"c:\Users\Alex\Desktop\pelets\src\publicResources\fonts\montserrat-v25-latin-regular.svg", "XML", 0, 0, 327, 0, 1, 328
"c:\Users\Alex\Desktop\pelets\src\publicResources\logoMabis.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\Alex\Desktop\pelets\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 2, 14
"c:\Users\Alex\Desktop\pelets\src\setupTests.js", "JavaScript", 0, 1, 0, 4, 1, 6
"Total", "-", 1528, 1511, 329, 91, 713, 4172
