"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\admin\Desktop\pelets\src\App.js", "JavaScript", 5, 0, 0, 0, 2, 7
"c:\Users\admin\Desktop\pelets\src\Particle.js", "JavaScript", -9, 0, 0, 0, -3, -12
"c:\Users\admin\Desktop\pelets\src\index.js", "JavaScript", 2, 0, 0, -2, 0, 0
"c:\Users\admin\Desktop\pelets\src\pages\adminPanel\AdminPanelComponent.css", "CSS", 0, 0, 151, 0, 27, 178
"c:\Users\admin\Desktop\pelets\src\pages\adminPanel\AdminPanelComponent.js", "JavaScript", 291, 0, 0, 0, 61, 352
"c:\Users\admin\Desktop\pelets\src\pages\adminPanel\AdminPanelFetch.js", "JavaScript", 37, 0, 0, 0, 5, 42
"c:\Users\admin\Desktop\pelets\src\pages\adminPanel\AdminPanelList.js", "JavaScript", 19, 0, 0, 0, 4, 23
"c:\Users\admin\Desktop\pelets\src\pages\auth\Login.js", "JavaScript", 12, 0, 0, 0, 0, 12
"c:\Users\admin\Desktop\pelets\src\pages\auth\ProfilePage.css", "CSS", 0, 0, 36, -1, 6, 41
"c:\Users\admin\Desktop\pelets\src\pages\auth\ProfilePage.js", "JavaScript", 49, 0, 0, 0, 3, 52
"c:\Users\admin\Desktop\pelets\src\pages\auth\Register.css", "CSS", 0, 0, 21, 0, 4, 25
"c:\Users\admin\Desktop\pelets\src\pages\auth\Register.js", "JavaScript", -29, 0, 0, 0, 3, -26
"c:\Users\admin\Desktop\pelets\src\pages\auth\loginCss.css", "CSS", 0, 0, 13, 0, 1, 14
"c:\Users\admin\Desktop\pelets\src\pages\cartPage\CartPage.js", "JavaScript", 6, 0, 0, 0, 0, 6
"c:\Users\admin\Desktop\pelets\src\pages\cartPage\ShoppingCart.css", "CSS", 0, 0, 18, 0, 1, 19
"c:\Users\admin\Desktop\pelets\src\pages\cartPage\ShoppingCart.js", "JavaScript", 1, 0, 0, 0, -2, -1
"c:\Users\admin\Desktop\pelets\src\pages\cartPage\ShoppingCartPage.css", "CSS", 0, 0, 0, 7, 2, 9
"c:\Users\admin\Desktop\pelets\src\pages\cartPage\ShoppingCartPage.js", "JavaScript", 0, 0, 0, 0, -1, -1
"c:\Users\admin\Desktop\pelets\src\pages\cartPage\ShoppingCartProps.js", "JavaScript", -25, 0, 0, 0, -5, -30
"c:\Users\admin\Desktop\pelets\src\pages\contactPage\ContactForm.css", "CSS", 0, 0, 2, 0, 3, 5
"c:\Users\admin\Desktop\pelets\src\pages\contactPage\ContactForm.js", "JavaScript", 4, 0, 0, 0, 2, 6
"c:\Users\admin\Desktop\pelets\src\pages\contactPage\ContactPage.js", "JavaScript", 4, 0, 0, 0, 0, 4
"c:\Users\admin\Desktop\pelets\src\pages\homePage\CreateProduct.js", "JavaScript", 23, 0, 0, 0, 4, 27
"c:\Users\admin\Desktop\pelets\src\pages\homePage\CssHeader.css", "CSS", 0, 0, -234, -4, -41, -279
"c:\Users\admin\Desktop\pelets\src\pages\homePage\Header.js", "JavaScript", -60, 0, 0, -1, -16, -77
"c:\Users\admin\Desktop\pelets\src\pages\homePage\Homepage.js", "JavaScript", 6, 0, 0, 0, 0, 6
"c:\Users\admin\Desktop\pelets\src\pages\homePage\PreFooter.css", "CSS", 0, 0, -51, 0, -9, -60
"c:\Users\admin\Desktop\pelets\src\pages\homePage\PreFooter.js", "JavaScript", -30, 0, 0, 0, -8, -38
"c:\Users\admin\Desktop\pelets\src\pages\homePage\ProductCardComponent.css", "CSS", 0, 0, 22, -12, 3, 13
"c:\Users\admin\Desktop\pelets\src\pages\homePage\ProductCardComponent.js", "JavaScript", 48, 0, 0, 0, -1, 47
"c:\Users\admin\Desktop\pelets\src\pages\homePage\ProductCardComponentModal.css", "CSS", 0, 0, 7, 0, 0, 7
"c:\Users\admin\Desktop\pelets\src\pages\productPage\ProductPage.js", "JavaScript", 4, 0, 0, 0, 0, 4
"c:\Users\admin\Desktop\pelets\src\pages\productPage\SingleProductPage.js", "JavaScript", 1, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\pelets\src\pages\reusableComponents\BackToTop.css", "CSS", 0, 0, 46, 1, 8, 55
"c:\Users\admin\Desktop\pelets\src\pages\reusableComponents\BackToTop.js", "JavaScript", 54, 0, 0, 1, 18, 73
"c:\Users\admin\Desktop\pelets\src\pages\reusableComponents\CssHeader.css", "CSS", 0, 0, 245, 4, 45, 294
"c:\Users\admin\Desktop\pelets\src\pages\reusableComponents\Footer.css", "CSS", 0, 0, 67, 0, 14, 81
"c:\Users\admin\Desktop\pelets\src\pages\reusableComponents\Footer.js", "JavaScript", 45, 0, 0, 0, 8, 53
"c:\Users\admin\Desktop\pelets\src\pages\reusableComponents\Header.js", "JavaScript", 64, 0, 0, 1, 16, 81
"c:\Users\admin\Desktop\pelets\src\pages\reusableComponents\PreFooter.css", "CSS", 0, 0, 55, 0, 9, 64
"c:\Users\admin\Desktop\pelets\src\pages\reusableComponents\PreFooter.js", "JavaScript", 30, 0, 0, 0, 8, 38
"c:\Users\admin\Desktop\pelets\src\pages\reusableComponents\TopScrollProgress.js", "JavaScript", 22, 0, 0, 0, 8, 30
